url_path,views_total,views_unique
/SAP/SapMachine/wiki/Installation,609,361
/SAP/SapMachine,458,280
/SAP/SapMachine/releases,226,85
/SAP/SapMachine/wiki/Essential-Information-on-Virtual-Threads,94,70
/SAP/SapMachine/releases/tag/sapmachine-22.0.2,91,33
/SAP/SapMachine/wiki/Frequently-Asked-Questions,83,58
/SAP/SapMachine/pulls,69,17
/SAP/SapMachine/wiki/Differences-between-SapMachine-and-OpenJDK,64,56
/SAP/SapMachine/releases/tag/sapmachine-17.0.12,58,36
/SAP/SapMachine/blob/sapmachine/LICENSE,56,20
